game,algorithm,seed,threshold,converged,episodes,restarts
StagHunt,REINFORCE,54,4.0,False,1000,0
StagHunt,REINFORCE,55,4.0,False,1000,0
StagHunt,REINFORCE,56,4.0,False,1000,0
StagHunt,REINFORCE,57,4.0,False,1000,0
StagHunt,REINFORCE,58,4.0,False,1000,0
StagHunt,REINFORCE,59,4.0,False,1000,0
StagHunt,REINFORCE,60,4.0,False,1000,0
StagHunt,REINFORCE,61,4.0,False,1000,0
StagHunt,REINFORCE,62,4.0,False,1000,0
StagHunt,REINFORCE,63,4.0,False,1000,0
StagHunt,REINFORCE,64,4.0,False,1000,0
StagHunt,REINFORCE,65,4.0,False,1000,0
StagHunt,REINFORCE,66,4.0,False,1000,0
StagHunt,REINFORCE,67,4.0,False,1000,0
StagHunt,REINFORCE,68,4.0,False,1000,0
StagHunt,REINFORCE,69,4.0,False,1000,0
StagHunt,REINFORCE,70,4.0,False,1000,0
StagHunt,REINFORCE,71,4.0,False,1000,0
StagHunt,REINFORCE,72,4.0,False,1000,0
StagHunt,REINFORCE,73,4.0,False,1000,0
StagHunt,REINFORCE,74,4.0,False,1000,0
StagHunt,REINFORCE,75,4.0,False,1000,0
StagHunt,REINFORCE,76,4.0,False,1000,0
StagHunt,REINFORCE,77,4.0,False,1000,0
StagHunt,REINFORCE,78,4.0,False,1000,0
StagHunt,REINFORCE,79,4.0,False,1000,0
StagHunt,REINFORCE,80,4.0,False,1000,0
StagHunt,REINFORCE,81,4.0,False,1000,0
StagHunt,REINFORCE,82,4.0,False,1000,0
StagHunt,REINFORCE,83,4.0,False,1000,0
StagHunt,REINFORCE,84,4.0,False,1000,0
StagHunt,REINFORCE,85,4.0,False,1000,0
StagHunt,REINFORCE,86,4.0,False,1000,0
StagHunt,REINFORCE,87,4.0,False,1000,0
StagHunt,REINFORCE,88,4.0,False,1000,0
StagHunt,REINFORCE,89,4.0,False,1000,0
StagHunt,REINFORCE,90,4.0,False,1000,0
StagHunt,REINFORCE,91,4.0,False,1000,0
StagHunt,REINFORCE,92,4.0,False,1000,0
StagHunt,REINFORCE,93,4.0,False,1000,0
StagHunt,REINFORCE,94,4.0,False,1000,0
StagHunt,REINFORCE,95,4.0,False,1000,0
StagHunt,REINFORCE,96,4.0,False,1000,0
StagHunt,REINFORCE,97,4.0,False,1000,0
StagHunt,REINFORCE,98,4.0,False,1000,0
StagHunt,REINFORCE,99,4.0,False,1000,0
StagHunt,Meta-MAPG,0,4.0,False,1000,0
StagHunt,Meta-MAPG,1,4.0,False,1000,0
StagHunt,Meta-MAPG,2,4.0,False,1000,0
StagHunt,Meta-MAPG,3,4.0,False,1000,0
