threshold,seed,converged,episodes,restarts
2.8,64,False,2000,1
3.0,64,False,2000,1
3.2,64,False,2000,19
3.5,64,False,2000,19
3.8,64,False,2000,19
4.0,64,False,2000,19
4.5,64,False,2000,19
5.0,64,False,2000,19
6.0,64,False,2000,19
0.0,65,True,1243,0
1.0,65,True,1243,0
2.0,65,True,1243,0
2.5,65,True,1243,0
2.8,65,True,934,1
3.0,65,True,676,2
3.2,65,True,676,2
3.5,65,True,676,2
3.8,65,False,2000,19
4.0,65,False,2000,19
4.5,65,False,2000,19
5.0,65,False,2000,19
6.0,65,False,2000,19
0.0,66,False,2000,0
1.0,66,False,2000,0
2.0,66,False,2000,0
2.5,66,False,2000,1
2.8,66,False,2000,3
3.0,66,False,2000,6
3.2,66,False,2000,19
3.5,66,False,2000,19
3.8,66,False,2000,19
4.0,66,False,2000,19
4.5,66,False,2000,19
5.0,66,False,2000,19
6.0,66,False,2000,19
0.0,67,False,2000,0
1.0,67,False,2000,0
2.0,67,False,2000,0
2.5,67,False,2000,1
2.8,67,False,2000,2
3.0,67,False,2000,4
3.2,67,False,2000,19
3.5,67,False,2000,19
3.8,67,False,2000,19
4.0,67,False,2000,19
4.5,67,False,2000,19
5.0,67,False,2000,19
6.0,67,False,2000,19
0.0,68,False,2000,0
1.0,68,False,2000,0
2.0,68,False,2000,0
2.5,68,False,2000,1
2.8,68,False,2000,3
3.0,68,False,2000,3
3.2,68,False,2000,19
3.5,68,False,2000,19
3.8,68,False,2000,19
4.0,68,False,2000,19
4.5,68,False,2000,19
5.0,68,False,2000,19
6.0,68,False,2000,19
0.0,69,False,2000,0
1.0,69,False,2000,0
2.0,69,False,2000,0
2.5,69,False,2000,1
2.8,69,False,2000,3
3.0,69,False,2000,2
3.2,69,False,2000,19
3.5,69,False,2000,19
3.8,69,False,2000,19
4.0,69,False,2000,19
4.5,69,False,2000,19
5.0,69,False,2000,19
6.0,69,False,2000,19
0.0,70,False,2000,0
1.0,70,False,2000,0
2.0,70,False,2000,0
2.5,70,False,2000,1
2.8,70,False,2000,1
3.0,70,False,2000,5
3.2,70,False,2000,19
3.5,70,False,2000,19
3.8,70,False,2000,19
4.0,70,False,2000,19
4.5,70,False,2000,19
5.0,70,False,2000,19
6.0,70,False,2000,19
0.0,71,False,2000,0
1.0,71,False,2000,0
2.0,71,False,2000,0
2.5,71,False,2000,1
2.8,71,False,2000,9
3.0,71,False,2000,19
3.2,71,False,2000,19
3.5,71,False,2000,19
3.8,71,False,2000,19
4.0,71,False,2000,19
4.5,71,False,2000,19
5.0,71,False,2000,19
6.0,71,False,2000,19
0.0,72,False,2000,0
1.0,72,False,2000,0
2.0,72,False,2000,0
2.5,72,False,2000,1
2.8,72,False,2000,1
3.0,72,False,2000,2
3.2,72,False,2000,19
3.5,72,False,2000,19
3.8,72,False,2000,19
4.0,72,False,2000,19
4.5,72,False,2000,19
5.0,72,False,2000,19
6.0,72,False,2000,19
0.0,73,False,2000,0
1.0,73,False,2000,0
2.0,73,False,2000,0
2.5,73,False,2000,1
2.8,73,False,2000,1
3.0,73,False,2000,4
3.2,73,False,2000,19
3.5,73,False,2000,19
3.8,73,False,2000,19
4.0,73,False,2000,19
4.5,73,False,2000,19
5.0,73,False,2000,19
6.0,73,False,2000,19
0.0,74,False,2000,0
1.0,74,False,2000,0
2.0,74,False,2000,0
2.5,74,False,2000,1
2.8,74,True,624,1
3.0,74,True,640,2
3.2,74,True,632,2
3.5,74,True,632,2
3.8,74,True,626,4
4.0,74,True,698,5
4.5,74,True,661,6
5.0,74,True,661,6
6.0,74,True,661,6
0.0,75,False,2000,0
1.0,75,False,2000,0
2.0,75,False,2000,0
2.5,75,False,2000,1
2.8,75,False,2000,5
3.0,75,False,2000,9
3.2,75,False,2000,19
3.5,75,False,2000,19
3.8,75,False,2000,19
4.0,75,False,2000,19
4.5,75,False,2000,19
5.0,75,False,2000,19
6.0,75,False,2000,19
0.0,76,False,2000,0
1.0,76,False,2000,0
2.0,76,False,2000,0
2.5,76,False,2000,1
2.8,76,False,2000,2
3.0,76,False,2000,6
3.2,76,False,2000,19
3.5,76,False,2000,19
3.8,76,False,2000,19
4.0,76,False,2000,19
4.5,76,False,2000,19
5.0,76,False,2000,19
6.0,76,False,2000,19
0.0,77,False,2000,0
1.0,77,False,2000,0
2.0,77,False,2000,0
2.5,77,False,2000,1
2.8,77,False,2000,1
3.0,77,True,1131,7
3.2,77,True,1131,7
3.5,77,False,2000,19
3.8,77,True,1434,8
4.0,77,True,1141,9
4.5,77,False,2000,19
5.0,77,False,2000,19
6.0,77,False,2000,19
0.0,78,False,2000,0
1.0,78,False,2000,0
2.0,78,False,2000,0
2.5,78,False,2000,2
2.8,78,True,904,3
3.0,78,True,904,3
3.2,78,True,904,3
3.5,78,True,1217,7
3.8,78,False,2000,19
4.0,78,False,2000,19
4.5,78,False,2000,19
5.0,78,False,2000,19
6.0,78,False,2000,19
0.0,79,False,2000,0
1.0,79,False,2000,0
2.0,79,False,2000,0
2.5,79,False,2000,1
2.8,79,False,2000,2
3.0,79,False,2000,9
3.2,79,False,2000,19
3.5,79,False,2000,19
3.8,79,False,2000,19
4.0,79,False,2000,19
4.5,79,False,2000,19
5.0,79,False,2000,19
6.0,79,False,2000,19
0.0,80,False,2000,0
1.0,80,False,2000,0
2.0,80,False,2000,0
2.5,80,False,2000,5
2.8,80,True,610,1
3.0,80,True,603,2
3.2,80,True,603,2
3.5,80,False,2000,19
3.8,80,True,581,3
4.0,80,True,581,3
4.5,80,False,2000,19
5.0,80,False,2000,19
6.0,80,False,2000,19
0.0,81,False,2000,0
1.0,81,False,2000,0
2.0,81,False,2000,0
2.5,81,False,2000,2
2.8,81,False,2000,1
3.0,81,False,2000,9
3.2,81,False,2000,19
3.5,81,True,468,2
3.8,81,True,468,2
4.0,81,True,468,2
4.5,81,False,2000,19
5.0,81,False,2000,19
6.0,81,False,2000,19
0.0,82,False,2000,0
1.0,82,False,2000,0
2.0,82,False,2000,0
2.5,82,False,2000,1
2.8,82,False,2000,4
3.0,82,False,2000,13
3.2,82,False,2000,19
3.5,82,False,2000,19
3.8,82,False,2000,19
4.0,82,False,2000,19
